               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.07898,            0.023112,            0.038051,             0.52361,             0.40738,              0.3798,              0.1877,            0.049192,            0.016779,            0.017145,            0.070037,           0.0033292,           0.0033292
                   1,            0.056146,            0.017422,            0.013204,             0.40865,             0.57444,             0.44301,             0.24329,            0.047334,            0.014598,           0.0089982,            0.039848,           0.0064741,           0.0064741
                   2,            0.052073,            0.016232,           0.0092471,             0.57474,             0.53239,             0.50945,             0.25168,            0.044053,            0.014516,           0.0083188,           0.0094715,           0.0094304,           0.0094304
                   3,            0.047713,            0.016149,           0.0086351,             0.56761,             0.55725,              0.5316,             0.28664,            0.041803,            0.015178,           0.0083594,           0.0091514,           0.0091514,           0.0091514
                   4,            0.045558,            0.016096,           0.0075023,             0.60143,             0.60086,             0.57597,             0.33147,            0.037961,            0.014462,             0.00659,           0.0091514,           0.0091514,           0.0091514
                   5,            0.043356,            0.015905,           0.0067042,             0.64491,             0.62693,             0.61036,             0.36833,             0.03541,            0.013858,           0.0060328,           0.0088686,           0.0088686,           0.0088686
                   6,            0.040863,            0.015302,           0.0059061,             0.60931,             0.63371,             0.60244,             0.36673,            0.034838,            0.014361,            0.007033,           0.0085857,           0.0085857,           0.0085857
                   7,            0.039786,             0.01526,           0.0057719,             0.68899,             0.64436,             0.64212,             0.38382,            0.034929,            0.013906,           0.0056634,           0.0083029,           0.0083029,           0.0083029
                   8,            0.038633,            0.015035,           0.0051739,             0.63375,             0.68771,             0.63083,             0.39362,            0.033277,            0.013454,           0.0052615,             0.00802,             0.00802,             0.00802
                   9,            0.037573,            0.014639,           0.0050187,             0.70332,              0.6389,             0.66128,             0.41911,            0.031852,            0.013508,           0.0045141,           0.0077371,           0.0077371,           0.0077371
                  10,            0.035884,            0.014489,           0.0047086,             0.66876,             0.66682,             0.67688,             0.43044,            0.030799,            0.013338,           0.0048389,           0.0074543,           0.0074543,           0.0074543
                  11,            0.035232,            0.014165,            0.004252,             0.63888,             0.69428,             0.67404,             0.43953,            0.031054,            0.013398,           0.0049555,           0.0071714,           0.0071714,           0.0071714
                  12,            0.034287,            0.013976,           0.0040551,             0.71006,             0.65304,             0.68757,             0.44196,            0.030575,             0.01281,           0.0046716,           0.0068886,           0.0068886,           0.0068886
                  13,            0.033821,            0.013959,           0.0038239,             0.66883,             0.67957,              0.6965,             0.44886,            0.030165,            0.012902,           0.0046826,           0.0066057,           0.0066057,           0.0066057
                  14,             0.03298,            0.013335,           0.0036026,             0.69395,             0.70747,             0.69134,             0.45443,            0.029896,            0.012835,           0.0042379,           0.0063229,           0.0063229,           0.0063229
                  15,            0.032451,            0.013413,           0.0033466,             0.66248,             0.70987,             0.69235,             0.46353,            0.029291,            0.012641,           0.0049359,             0.00604,             0.00604,             0.00604
                  16,            0.031973,            0.013317,           0.0033526,             0.67909,             0.67314,             0.70361,             0.47279,            0.028894,            0.012716,           0.0046033,           0.0057571,           0.0057571,           0.0057571
                  17,            0.031185,            0.012765,           0.0032693,              0.6925,             0.70758,             0.70674,             0.46888,            0.028672,            0.012561,           0.0042556,           0.0054743,           0.0054743,           0.0054743
                  18,            0.030643,             0.01294,           0.0029164,             0.68426,             0.68542,             0.69968,             0.47074,             0.02832,             0.01266,           0.0045117,           0.0051914,           0.0051914,           0.0051914
                  19,            0.030335,            0.012776,           0.0030383,             0.71905,             0.70418,             0.72543,             0.48509,            0.028121,            0.012274,           0.0044254,           0.0049086,           0.0049086,           0.0049086
                  20,            0.030032,            0.012498,           0.0028094,             0.69621,             0.67501,              0.7123,             0.47941,            0.028178,             0.01255,           0.0051466,           0.0046257,           0.0046257,           0.0046257
                  21,            0.029638,            0.012414,           0.0025777,             0.70321,             0.67548,             0.70425,             0.48348,            0.027505,            0.012641,           0.0048451,           0.0043429,           0.0043429,           0.0043429
                  22,            0.028931,            0.012385,           0.0026864,             0.71514,             0.69614,             0.72052,             0.49006,            0.027345,            0.012263,           0.0045504,             0.00406,             0.00406,             0.00406
                  23,            0.028548,            0.012145,            0.002463,             0.71286,             0.71852,             0.72715,             0.49749,            0.027202,            0.012203,            0.004642,           0.0037771,           0.0037771,           0.0037771
                  24,            0.028026,            0.012126,            0.002273,              0.7095,             0.69625,             0.71946,             0.49347,            0.026796,            0.012393,           0.0048704,           0.0034943,           0.0034943,           0.0034943
                  25,            0.027828,            0.011968,            0.002369,             0.69956,             0.69586,             0.72323,             0.50197,            0.026436,            0.012291,             0.00458,           0.0032114,           0.0032114,           0.0032114
                  26,            0.027212,            0.011809,           0.0020163,             0.68576,             0.72046,             0.73016,             0.50529,            0.026412,            0.012231,           0.0046946,           0.0029286,           0.0029286,           0.0029286
                  27,            0.026502,            0.011607,           0.0018523,             0.73787,             0.70746,             0.73958,              0.5106,            0.026154,            0.012001,           0.0046997,           0.0026457,           0.0026457,           0.0026457
                  28,            0.026524,            0.011614,           0.0020907,             0.71898,             0.69832,             0.73282,              0.5084,            0.026141,            0.011932,           0.0047956,           0.0023629,           0.0023629,           0.0023629
                  29,            0.025935,            0.011326,           0.0018883,             0.71453,             0.70413,             0.73473,             0.51374,             0.02604,            0.012222,           0.0045514,             0.00208,             0.00208,             0.00208
                  30,            0.025708,            0.011104,           0.0017792,               0.713,             0.72617,             0.74091,             0.51874,            0.025519,            0.012054,           0.0044648,           0.0017971,           0.0017971,           0.0017971
                  31,            0.025309,            0.011081,           0.0017249,             0.69638,             0.71801,             0.73288,             0.51678,            0.025653,            0.012236,           0.0048175,           0.0015143,           0.0015143,           0.0015143
                  32,            0.025018,            0.011159,           0.0015331,             0.71421,             0.73061,             0.73577,             0.51879,            0.025318,            0.012101,            0.004512,           0.0012314,           0.0012314,           0.0012314
                  33,            0.024479,            0.010973,           0.0015135,              0.7261,             0.72265,             0.74758,             0.52311,            0.025286,             0.01198,           0.0043166,          0.00094857,          0.00094857,          0.00094857
                  34,             0.02416,            0.010779,           0.0014641,             0.73595,             0.71846,             0.74302,             0.52464,            0.025251,            0.012102,           0.0046654,          0.00066571,          0.00066571,          0.00066571
